,T1,T2,T3,T4,T5,E,STD
R^2,0.13878989535587524,0.14262605679390025,0.1472273558899974,0.1615294806582843,0.14335773542494998,0.14670610482460145,0.008810915328470283
RMSE,0.7035089617968882,0.6837602189636441,0.6812645898351584,0.6853596037687445,0.7091751765563996,0.692613710184167,0.012774951814757716
R^2-train,0.09943151993597947,0.11522969288374199,0.10640762463655846,0.10738256278462713,0.11424716801866101,0.10853971365191359,0.006445441255973891
RMSE-train,0.9348815206126825,0.9413931133347065,0.9642802931825791,0.9476038320785468,1.0194313056044801,0.9615180129625991,0.03416759574528141
