,T1,T2,T3,T4,T5,E,STD
R^2,-0.030587360700015775,-0.08759885235237586,-0.05914763362635833,-0.05306958136623896,-0.06943831181004323,-0.05996834797100643,0.021003773191989938
RMSE,34.90770451532512,35.67500551704011,35.71919606176487,35.419891517738854,35.72200515627079,35.488760553627955,0.34805165501014534
R^2-train,-58.1006135639872,-411.2130362617596,-202.86314186813038,-109.64323175815724,-147.48354128116364,-185.86071294663964,136.63574472916667
RMSE-train,2.704644505951386,7.127202731153614,5.019913182321705,3.70070442168353,4.291511799949022,4.568795328211851,1.6624140596510024
Likes,1.1258697290606534,1.126099889637357,1.146936234949542,0.6950522064569712,2.8922528489823494,1.3972421818173746,0.8570212766021247
Checkin,4.18557339752011,-1.2361044969381765,3.9629639093589333,-2.5855570599760482,-4.2583534045793066,0.013704469077102387,3.859073784814855
Talks,1.0353373629927882,1.6586350256753164,1.6307530729880753,0.7440894330821686,1.6691165055413868,1.3475862800559473,0.4307041534469964
Category,-3.51149250130724,9.048560979422602,-14.737046954227393,-3.1961939582819245,-3.7901744415170335,-3.2372693751821977,8.41975506464994
CC1 @Min,1.000463146920697,0.9628246193621761,0.9902856997345011,0.9767842433068875,0.9736161141150051,0.9807947646878533,0.014726392434479032
CC1 @Max,-2.267126292613576,-2.1182262365287725,4.738411438686248,-1.1100064321599146,-4.195319857358805,-0.9904534759949639,3.3914274104897286
CC1 @Med,0.33283243150946074,1.5339394033661238,1.714368002199968,1.8605931073223634,0.5062245990801846,1.1895915086956201,0.7150586401751612
CC1 @Std,-0.3409869186339352,1.3747007931519717,2.9484799991195194,1.5212630075602107,1.9837886081532583,1.4974490978702049,1.1976537511973455
CC2 @Min,0.998066457441705,0.9406584908513904,0.9713445041538379,0.9790393003088083,0.9908768811579345,0.9759971267827352,0.022294524846803783
CC2 @Max,0.3536242782467911,2.669813092886558,-1.7293486410585148,1.276558828736702,-1.9675485171486564,0.12061980833257606,1.9793750732992437
CC2 @Med,-0.19762810688796717,1.1605612676959145,1.2099888779144459,1.835744115717853,1.3580456847027886,1.073342367828607,0.7589396808438921
CC2 @Std,1.4019349831104215,2.9583183778836393,2.871493540212928,1.8625641197438654,0.5375801595578735,1.9263782361017454,1.0205410891718942
CC3 @Min,0.9985616844856963,0.9975530799363288,0.9944808135327851,0.9945371040591051,0.9927055219201357,0.9955676407868103,0.002415636050892985
CC3 @Max,-0.9509109068135726,-5.781706833788547,3.5491366050842115,2.972428882212716,0.5141315880056636,0.06061586694009433,3.74199243181677
CC3 @Med,0.7633837732361524,0.9553911794957822,1.9237194193757166,1.0746597308683483,1.1701995196709318,1.177470724529386,0.4439305725423663
CC3 @Std,0.12359649128263857,3.969296844936406,3.9126244607620695,1.3127546348063814,2.4462098703566855,2.3528964604288363,1.666274467215451
CC4 @Min,1.0005269153751817,0.9626212955479292,0.9925094916644128,0.9756688103656999,0.9746780398401579,0.9812009105586762,0.015163546235098047
CC4 @Max,-1.268672071877668,0.26852332559050723,4.808475227124238,-0.2059195526474609,-2.802629584808323,0.15995546867625868,2.853606240541267
CC4 @Med,0.31040002812286827,1.6772708089993411,1.7774776279000848,2.0002613794726027,0.5663857353281206,1.2663591159646035,0.7701499198735349
CC4 @Std,0.16548157080296377,1.9312137901669104,2.7911987168159498,1.325131745051565,1.2824715544161167,1.499099475450701,0.9633239815228734
CC5 @Min,-2.8080190874154085,1.0899316190426938,18.96689603720768,12.945501057754283,-4.9436787956776795,5.050126166182313,10.408207742150863
CC5 @Max,-0.9352314620851763,2.3669211036494366,-7.83821891828302,3.2979400022916656,0.5275827681742915,-0.5162013012505604,4.408431754275862
CC5 @Med,2.823872350185908,1.1840664874849716,1.8248853297314607,-10.22969788326635,10.07662397964781,1.1359500527567599,7.287654491705913
CC5 @Std,0.4124759659017326,4.996025939343885,3.19145227097082,1.4874650380551344,1.0226664103098777,2.22201712491629,1.8632885925182452
CC1,1.6562219371997713,2.865077342099371,1.204740469235878,0.12773232346182362,0.9476491147385623,1.3602842373470811,1.0081700301703487
CC2,-0.2544933428934848,0.15047228515840014,1.3704761647032486,2.789439662908592,0.6873784830964945,0.9486546505946499,1.1957579468432318
CC3,2.9968667191518295,3.86707283830772,1.4063178081658587,-0.6347407963367947,1.1370858988040597,1.7545204936185346,1.747665704150666
CC4,1.6325026891193386,3.0390254313108986,1.320385521589447,0.31424127550415426,1.1277167853323526,1.4867743405712381,0.9952589557503255
CC5,-3.0982426881317258,-1.406864220099661,-2.5287045626946294,1.0105364965641797,0.5922290274166123,-1.0862091893890446,1.8333977112173432
Base time,-4.744944657639291,4.970848997630167,1.6325911783914333,2.2743915955511915,3.816521070722412,1.5898816369311828,3.774561750488034
Post Length,0.9784886471186183,3.478046681723693,2.5670639769174537,1.1430026737519456,0.7167504745466191,1.7766704908116657,1.1917909217579377
Post Share Count,0.9409549374686597,1.1181349732289234,0.9350210502714867,0.9655697756346796,1.0117277320066895,0.994281693722088,0.07553797080173649
Post Promotion Status,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Target Hours,10.225630168055066,-1.1224967356534001,-5.373020673533578,-5.229534068992839,-9.417036041506,-2.18329147032615,7.531395099471856
Post published @Sun,3.19949984116217,-3.921107944777736,-1.6295705697974532,0.8652844378573769,7.429537947794707,1.188728742447813,4.391718289879765
Post published @Mon,-0.01083677892579759,-0.12153653118630252,2.3716831050737013,0.593885297832011,-1.388882878730922,0.288862442812538,1.3696949622595804
Post published @Tue,-1.6180920828111667,9.6640784848277,6.779392184040013,-1.6411232358295078,-2.156674624018388,2.20551614524173,5.590076406205091
Post published @Wed,-2.5198753104072154,10.319168056831241,2.18163028105597,-3.2182772128676707,-2.2121658787193192,0.9100959871786012,5.672392004542414
Post published @Thu,-0.7629155196286053,8.102730528607225,2.73306169704665,2.008943919318814,1.1682818781904372,2.650020500706904,3.316383696747825
Post published @Fri,0.2990662679717065,-3.8985720340358134,0.4343360466289493,3.1624495487851547,4.752487287658364,0.9499534234016721,3.299701402150236
Base date/time @Sun,-1.7924797293811032,-4.784022988253644,-5.736963570135165,-0.30651728309782483,0.7223571980856955,-2.3795252745564084,2.7981092117106345
Base date/time @Mon,0.4445564944875915,-3.559029210760941,-3.089999449114303,2.8695280609342078,-1.7227832610581035,-1.0115454731023097,2.669197830419721
Base date/time @Tue,-1.2952571318224022,-6.292295862566301,-2.4850580798700803,3.829599290914061,4.284555821202758,-0.391691192428393,4.463808107512446
Base date/time @Wed,0.4496338403431325,-9.529847792273921,-8.608516217637893,3.5030477197073724,5.335861803554038,-1.7699641292614543,6.89575268593714
Base date/time @Thu,2.5178923877726893,-16.739203612718196,-9.363387773106504,5.684299427572763,6.81036457739146,-2.2180069986175575,10.347805331128335
Base date/time @Fri,3.792665151320258,-21.19787014891622,-6.774110720915489,5.901426857857257,5.4903764804308866,-2.5575024760446623,11.639260738339543
